ID,Area,Severity,Type,File(s),Line(s),Problem,Evidence,User Impact,Recommended Fix,Estimated Effort,Suggested Test Coverage,Status,Notes
A01,Background GPS / TaskManager,High,Native Config,app/_layout.tsx; src/lib/activityGpsTracking.ts,"_layout.tsx (import block); activityGpsTracking.ts:8",The ACTIVITY background-location task (walk/hike/outdoor-cycle) was only imported by the activity screen, so TaskManager.defineTask was not guaranteed registered when iOS relaunches the app in the background.,"_layout.tsx previously imported only '../src/lib/gpsTracking'; activityGpsTracking imported only by activity/start.tsx.",Background GPS points/route could be dropped for non-run outdoor activities on a cold background relaunch.,"Added `import '../src/lib/activityGpsTracking';` at app root next to gpsTracking.",Trivial,"Startup test asserting both STRIDE_BACKGROUND_LOCATION and STRIDE_ACTIVITY_BACKGROUND_LOCATION are defined after importing app root.",Fixed,Needs on-device confirmation of background relaunch behavior.
A02,Voice coaching / Audio,High,Missing Feature,src/lib/voiceCoach.ts; app.json,"voiceCoach.ts ensureAudioSession/releaseAudioSession/drain; app.json infoPlist",Voice cues could not play while backgrounded/locked (shouldPlayInBackground:false; no `audio` UIBackgroundMode).,"voiceCoach.ts set shouldPlayInBackground:false; app.json declared no UIBackgroundModes.",Spoken cues went silent when the phone locked mid-run — the core scenario.,"Set shouldPlayInBackground:true and added UIBackgroundModes ['audio','location'] to app.json infoPlist.",Small,"Config test on the audio-mode object; on-device locked-screen cue playback.",Fixed,Needs Device QA on a signed build; confirm App Review notes reflect audio guidance during workouts.
A11,Voice coaching / Audio,High,Bug,src/lib/voiceCoach.ts,"voiceCoach.ts ensureAudioSession/releaseAudioSession/drain/clearVoiceCoachQueue","User-reported: when a cue plays it ducks the music but never restores it. The audio session was set to duckOthers once and never released, so music stayed lowered for the rest of the run.","audioSessionReady latched true; no setActive(false)/mix-mode switch after speech; drain() returned early on empty queue without releasing.",Music/podcast volume stayed permanently ducked after the first cue until the app was closed.,"Added releaseAudioSession() (switches to mixWithOthers) invoked when the queue drains and on clearVoiceCoachQueue; ensureAudioSession re-ducks for the next cue.",Small,"On-device: play music, trigger a cue, confirm music returns to full volume after the cue.",Fixed,Reported directly by the user during Build 49 review.
A12,Voice coaching,High,Missing Feature,src/utils/voiceCoachingEngine.ts; src/store/activeRunStore.ts; src/store/settingsStore.ts; app/(tabs)/settings/index.tsx,"voiceCoachingEngine.ts evaluateDistanceSplitCue; activeRunStore.ts addLocationUpdate + split state; settings voiceDistanceUpdateInterval","User-reported: audio only announced heart-rate zone and hydration/fuel reminders — never distance segments (half mile / mile splits). No distance-split cue logic existed anywhere.","grep found HR-zone (voiceCoachingEngine), hydration/fuel (runReminderScheduler) cues but no mile/km split generator.",Runners got no configurable per-half-mile/mile or per-half-km/km split and metric feedback during a run.,"Added pure evaluateDistanceSplitCue engine with configurable half/full distance updates, split pace, average pace, and elapsed moving time; wired it into activeRunStore.addLocationUpdate and added a persisted Settings control. Category 'pace' still gates delivery.",Medium,"Unit tests cover pre-boundary suppression, half-mile update, full-mile update, latest-segment split pace, metric half-km update, and no re-announce.",Fixed,"Outdoor GPS only for now; treadmill/indoor split cues are a follow-up (distance there does not route through addLocationUpdate)."
A03,Live Activity lifecycle,Medium,Native Config,targets/StrideRunLiveActivity/expo-target.config.js; targets/StrideRunLiveActivity/StrideRunLiveActivity.swift; _shared/StrideControlIntents.swift,"expo-target.config.js deploymentTarget:'18.0'","Widget deploymentTarget is 18.0 while native/JS treat Live Activities as available from iOS 16.1, so iOS <18 devices may report available but show no Live Activity.","Widget Swift has no explicit @available gates, but the Lock-Screen control buttons use LiveActivityIntent which requires iOS 17+, so the floor cannot drop to 16.2.",iOS 16-17 users may not see Live Activities.,"DEFERRED: lowering the target (to 17.0 at most, given LiveActivityIntent) is a native-build change that cannot be validated here without an EAS build. Decide target vs. gating JS on iOS 18 and validate with a build.",Medium,"Contract test aligning the JS availability gate with the shipped widget deployment target.",Deferred,Not changed — avoids an unvalidated build-config change that could break the next EAS build. iOS 18 adoption is high in 2026.
A04,HealthKit write,Medium,Data Risk,src/lib/healthKit.ts; scripts/tests/healthKitPermissionContract.test.ts,"healthKit.ts writeWorkout; SHARE_TYPES",writeWorkout wrote estimatedLoad*1.05 as the workout's energyBurned; estimatedLoad is a TSS-analog training load, not kilocalories.,"training.ts:202 documents estimatedLoad as a TSS-analog; healthKit.ts passed it as totals.energyBurned.",An inaccurate calorie value was written into Apple Health and consumed by other apps; requesting Active Energy write permission would also overstate what StrideOS writes after removing fabricated calories.,"Removed energyBurned from the write entirely (no fabricated kcal) and removed Active Energy from HealthKit SHARE_TYPES so the Apple Health write prompt matches actual writes.",Small,"Contract test asserts Active Energy is not requested as a write category and no estimatedLoad-derived energy is written.",Fixed,A real kcal model could be added later if desired.
A07,HealthKit write,Low,Data Risk,src/lib/healthKit.ts,"healthKit.ts writeWorkout",writeWorkout computed distance with no finite/positive guard.,"Prior code: distance = (actual ?? estimated) * 1609.344 with no guard.",Edge-case NaN/zero distance could reach Apple Health or the native bridge.,"Only set totals.distance when Number.isFinite(distanceMiles) && > 0.",Trivial,"Unit test with missing/NaN distance asserting no distance is written.",Fixed,Fixed together with A04.
A10,Strength Live Activity,Low,Bug,src/lib/strengthLiveActivity.ts,"strengthLiveActivity.ts endStrengthLiveActivity",end fell back to sessionSource 'training_block' when the session store was already cleared, which could fail to match an activity started under a different source.,"endStrengthLiveActivity defaulted sessionSource to 'training_block'; native matches() requires source match unless requested source is empty.",Rare stale strength Live Activity left on the Lock Screen.,"Changed the fallback to '' (native treats empty as a wildcard).",Small,"Test end-after-clear resolves to the most-recent/wildcard match.",Fixed,Native singleStrengthActivityFallback already mitigated most cases.
A06,Unit formatting,Low,Cleanup,src/lib/units.ts; src/utils/units.ts,"lib/units.ts constants; both modules' formatDistance",Two modules export formatDistance with incompatible signatures, and lib/units used slightly off km constants (1.60934) vs the canonical 1.609344.,"grep of both importer sets; differing constants.",Latent footgun plus tiny cross-screen distance rounding drift.,"Made lib/units use the canonical 1.609344 (reciprocal for the inverse) and added a cross-reference comment. Full module consolidation/rename deferred.",Medium,"Round-trip mi<->km stability test.",Fixed,"Partial: constant drift fixed now; consolidating the two modules is safer once `tsc` runs locally again."
A05,BLE sensors,Medium,Native Config,app.json,"plugins react-native-ble-plx / healthkit",BLE background disabled — HR straps / FTMS treadmills/trainers / power meters disconnect when the app is backgrounded / screen locked.,"app.json: react-native-ble-plx isBackgroundEnabled:false; healthkit background:false.",Live BLE HR/cadence/power/treadmill data freezes during locked-screen runs though GPS continues.,"Product decision: enable BLE background (adds bluetooth-central UIBackgroundMode) if locked-screen sensor continuity is wanted; validate battery/App Review.",Medium,"Device test: HR strap continuity with screen locked.",Deferred,Not changed pending product decision — increases battery use and needs App Review justification.
